,id,brand,name_korean,wish_count,review_count,change_percentage,change_value,highest_bid,last_sale_price,lowest_ask,market_price,pricepremium,pricepremium_percentage,total_sales,min_size,max_size,colorway,date_released,gender,local_price,local_price_currency,local_price_with_currency,name,original_price,original_price_currency,original_price_with_currency,style_code
0,28029,Nike,나이키 덩크 로우 레트로 블랙,94344,10732,2.5641,5000,300000,200000,192000,200000,71000,55.0388,175280,230,320,white/black,2021-01-14T00:00:00Z,men,,KRW,,Nike Dunk Low Retro Black,129000,KRW,"129,000원",DD1391-100
1,50694,Nike,나이키 덩크 로우 레트로 울프 그레이,48088,709,-6.89655,-16000,333000,216000,219000,216000,87000,67.4419,23429,240,320,Pure Platinum/White/Wolf Grey,2022-02-05T00:00:00Z,men,,KRW,,Nike Dunk Low Retro Wolf Grey,129000,KRW,"129,000원",DJ6188-001
2,43374,Nike,나이키 덩크 로우 레트로 프리미엄 할로윈,30361,1179,0.352113,1000,329000,285000,219000,285000,156000,120.93,19633,230,320,Sail/Starfish-Black,2022-01-18T00:00:00Z,men,,KRW,,Nike Dunk Low Retro PRM Halloween,129000,KRW,"129,000원",DD3357-100
3,28229,Nike,(GS) 나이키 덩크 로우 블랙,25589,1453,-1.57895,-3000,231000,187000,170000,187000,78000,71.5596,26823,225(3.5Y),250(7Y),white/black,2021-01-04T00:00:00Z,kids,,KRW,,(GS) Nike Dunk Low Black,109000,KRW,"109,000원",CW1590-100
4,59606,Nike,(W) 나이키 덩크 로우 라이트 스모크 그레이,8740,91,26.2172,70000,390000,337000,249000,337000,208000,161.24,1450,220,290,White/Light Smoke Grey-Black,2022-05-07T00:00:00Z,women,,KRW,,(W) Nike Dunk Low Light Smoke Grey,129000,KRW,"129,000원",DD1503-117
5,28030,Nike,(W) 나이키 덩크 로우 블랙,51450,3900,-35.443,-112000,271000,204000,199000,204000,75000,58.1395,71905,220,290,white/black,2021-01-04T00:00:00Z,women,,KRW,,(W) Nike Dunk Low Black,129000,KRW,"129,000원",DD1503-101
6,47887,Nike,나이키 덩크 로우 레트로 챔피언쉽 코트 퍼플,23254,813,69.4915,123000,284000,300000,170000,300000,171000,132.558,15219,240,320,White/Court Purple,2022-02-11T00:00:00Z,men,,KRW,,Nike Dunk Low Retro Championship Court Purple,129000,KRW,"129,000원",DD1391-104
7,54986,Nike,(W) 나이키 덩크 로우 로즈 위스퍼,9121,48,4.80349,11000,213000,240000,193000,240000,111000,86.0465,1037,220,290,White/Rose Whisper,2022-03-12T00:00:00Z,women,,KRW,,(W) Nike Dunk Low Rose Whisper,129000,KRW,"129,000원",DD1503-118
8,61048,Nike,나이키 덩크 로우 레트로 레이서 블루 앤 화이트,8905,196,-7.04225,-10000,240000,132000,133000,132000,3000,2.32558,2241,225,320,Racer Blue/White,2022-05-17T00:00:00Z,men,,KRW,,Nike Dunk Low Retro Racer Blue and White,129000,KRW,"129,000원",DD1391-401
9,43774,Nike,(GS) 나이키 덩크 로우 프리미엄 할로윈,10395,223,20.1087,37000,219000,221000,184000,221000,112000,102.752,5644,225(3.5Y),250(7Y),Sail/Starfish-Black,2022-01-18T00:00:02Z,kids,,KRW,,(GS) Nike Dunk Low PRM Halloween,109000,KRW,"109,000원",DO3806-100
