store,address,Latitude,Longitude,phone
학동역 DT점,서울특별시 강남구 학동로 211 1층,37.5146474,127.0320468,02-3444-9973
차병원점,서울특별시 강남구 논현로 566 강남차병원1층,37.4848012,127.0418318,02-538-7615
강남대로점,서울특별시 서초구 강남대로 369 1층,37.4956154,127.0282032,02-588-5778
강남에스점,서울특별시 서초구 서초 1306-3호,37.49184,127.007688,02-593-5095
청담에스점,"서울특별시 강남구 압구정로 461 네이처포엠빌딩B108,109호",37.5252633,127.0471584,02-548-6052
신사점,서울특별시 강남구 도산대로 126,37.5169242,127.0223976,02-548-2741
압구정역점,서울특별시 강남구 논현로 842 압구정빌딩1층,37.5240588,127.0287209,02-544-6823
역삼점,"서울특별시 강남구 논현로 512 지상1,2층",37.5022999,127.0365096,02-569-8051
양재스포타임점,서울특별시 서초구 강남대로 213 24호 지하1층,37.482717,127.0349215,02-578-6833
청담성당점,서울특별시 강남구 삼성로 716 LEE76빌딩2층,37.5231998,127.0486655,02-542-2053
영동점,서울특별시 서초구 반포동 736-17 P빌딩 2층,37.5068042,127.0227988,02-3443-2096
도곡점,"서울특별시 강남구 언주로 30길 10,112 현대비젼21 112호",37.4881509,127.0528748,02-572-2781
영동고앞점,"서울특별시 강남구 선릉로 749 1,2층",37.5214441,127.0394571,02-544-3794
공항터미널앞점,서울특별시 강남구 테헤란로 87길 17 1층,37.5086688,127.0583335,02-539-5174
압구정시티점,"서울특별시 강남구 도산대로49길 13 1층 17,18호",37.5236973,127.0369789,02-543-5922
압구정로데오점,서울특별시 강남구 선릉로 157길 12 석전빌딩 1~4층,37.5260686,127.0390203,02-3445-5093
서초우성점,서울특별시 서초구 강남대로 51길 1 511 TOWER 1층,37.4912666,127.0302496,02-582-0158
논현팍스타워점,서울특별시 강남구 논현 231-13호 팍스타워지하1층,37.5100034,127.0365611,02-513-3870
삼성오크우드점,서울특별시 강남구 영동대로 513 컨벤션별관A동 지하 2층,37.5095948,127.0594292,02-3466-8507
트레이드타워점,서울특별시 강남구 영동대로 511 트레이드타워 지하1층,37.5103238,127.0610228,02-6002-6470
삼성봉은사거리점,"서울특별시 강남구 영동대로 607 1,2층",37.5145239,127.0594748,02-3443-5618
반포엘루체점,서울특별시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호,37.5017064,126.9872169,02-3477-5571
잠실신천점,서울특별시 송파구 석촌호수로 118 1층,37.5073916,127.0900171,02-416-9520
서초지파이브점,"서울특별시 서초구 서초동 1685-8호 101~2호,113~4호,121호",37.4954141,127.0164028,02-3477-5580
논현동수면센터점,서울특별시 강남구 논현로 717 1층,37.5159215,127.0295236,02-3443-5575
삼성전자강남사옥점,서울특별시 서초구 서초대로74길 11 지하2층,37.4966085,127.0269023,02-2055-1142
삼성생명강남사옥점,서울특별시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,37.4967103,127.0256999,02-581-5562
방배카페골목점,서울특별시 서초구 방배중앙로 187,37.4956811,126.9855319,02-592-7794
역삼포스틸타워뒷점,서울특별시 강남구 테헤란로 20길 10 쓰리엠타워1층,37.4990484,127.0341289,02-554-9962
테헤란로하이닉스뒷점,서울특별시 강남구 테헤란로 70길 12 1층,37.5047023,127.0531444,02-538-9927
삼성봉은사로점,서울특별시 강남구 봉은사로 628 엘슨빌딩1층,37.5145705,127.0641848,02-538-4523
